feature,asset_class,n_symbols,symbols,count__mean,count__std,n_years__mean,n_years__std,per_year__mean,per_year__std,n_with_outcomes__mean,n_with_outcomes__std,pct_thesis_up__mean,pct_thesis_up__std,hour_mode_utc__mean,hour_mode_utc__std,fwd10_mfe_pts_mean__mean,fwd10_mfe_pts_mean__std,fwd10_mae_pts_mean__mean,fwd10_mae_pts_mean__std,fwd10_ratio_mfe_mae__mean,fwd10_ratio_mfe_mae__std,fwd50_mfe_pts_mean__mean,fwd50_mfe_pts_mean__std,fwd50_mae_pts_mean__mean,fwd50_mae_pts_mean__std,fwd50_ratio_mfe_mae__mean,fwd50_ratio_mfe_mae__std,fwd10_last_close_thesis_mean__mean,fwd10_last_close_thesis_mean__std,fwd10_last_close_thesis_hitrate__mean,fwd10_last_close_thesis_hitrate__std,fwd50_last_close_thesis_mean__mean,fwd50_last_close_thesis_mean__std,fwd50_last_close_thesis_hitrate__mean,fwd50_last_close_thesis_hitrate__std
interval_true_range,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",7814.0,297.6256,9.0,0.0,868.2333,33.0341,7401.6667,332.0622,0.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,
interval_true_range,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",8633.0,2.0,9.0,0.0,959.2,0.2,8515.75,4.5735,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,
liquidity_sweep,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",9842.5,593.5753,9.0,0.0,1093.6,65.9658,9840.5,596.3318,0.507,0.0038,3.0,6.0,0.2877,0.246,0.2863,0.2409,0.999,0.0125,0.6371,0.5413,0.6434,0.5449,0.984,0.0173,,,,,,,,
liquidity_sweep,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",10776.6,112.5447,9.0,0.0,1197.4,12.5202,10776.4,112.202,0.4732,0.0169,13.2,12.0499,0.4633,0.5627,0.4755,0.5785,0.9712,0.0366,1.0763,1.3028,1.1025,1.3348,0.9716,0.0225,,,,,,,,
liquidity_sweep,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",10292.8571,545.8063,9.0,0.0,1143.6429,60.627,10292.0,547.8516,0.512,0.0159,0.0,0.0,0.0029,0.0015,0.0028,0.0015,1.0237,0.0337,0.0063,0.0033,0.0062,0.0033,1.0161,0.0179,,,,,,,,
liquidity_sweep,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",9505.6667,337.6986,9.0,0.0,1056.1667,37.5342,9503.0,341.4045,0.5053,0.0127,0.0,0.0,8.6189,2.7443,8.5852,2.9133,1.0087,0.0359,18.3249,5.7434,18.3423,6.0598,1.0027,0.0214,,,,,,,,
liquidity_sweep,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",10937.25,41.8121,9.0,0.0,1215.225,4.6572,10937.25,41.8121,0.4535,0.0201,5.5,11.0,94.1733,90.1733,92.0474,88.3154,1.0215,0.0128,219.8019,209.5938,216.2642,207.1832,1.019,0.0063,,,,,,,,
opening_gap_levels,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",1470.5,184.7386,9.0,0.0,163.4,20.511,1470.5,184.7386,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_gap_levels,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",2177.4,50.451,9.0,0.0,241.92,5.6211,2177.4,50.451,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_gap_levels,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",1577.7143,384.1301,9.0,0.0,175.3,42.6735,1577.7143,384.1301,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_gap_levels,grain,2,"ZC.c.0,ZW.c.0",2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_gap_levels,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",2281.75,48.8356,9.0,0.0,253.5,5.4271,2281.75,48.8356,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_range_breakout,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",6901.0,657.0089,9.0,0.0,766.8,73.0116,6560.75,690.9662,0.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_range_breakout,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",8065.8,86.8055,9.0,0.0,896.2,9.6662,7998.4,126.2886,0.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_range_breakout,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",5945.2857,1649.0259,9.0,0.0,660.5857,183.2149,5197.7143,2091.9989,0.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_range_breakout,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",5604.3333,271.4817,9.0,0.0,622.7333,30.1532,5384.6667,297.3051,0.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
opening_range_breakout,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",8144.5,4.7958,9.0,0.0,904.95,0.5508,8140.75,1.893,0.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
order_block,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",8092.75,763.6358,9.0,0.0,899.2,84.8502,8091.75,764.7319,0.5095,0.0053,4.0,8.0,0.2648,0.2234,0.2858,0.2431,0.9303,0.0079,0.622,0.5224,0.646,0.5486,0.9657,0.01,-0.0092,0.0108,0.4822,0.0101,-0.0019,0.0087,0.5008,0.004
order_block,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",9438.6,90.9742,9.0,0.0,1048.74,10.1133,9438.4,91.265,0.4748,0.0154,9.6,8.7636,0.461,0.561,0.4525,0.5477,0.9938,0.0272,1.073,1.2995,1.0691,1.2901,0.9874,0.0199,0.0056,0.0084,0.499,0.0046,0.0259,0.039,0.4972,0.0047
order_block,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",8133.1429,1240.7134,9.0,0.0,903.6857,137.8469,8133.1429,1240.7134,0.5104,0.0164,5.7143,6.0474,0.0028,0.0015,0.0029,0.0015,0.9936,0.0322,0.0063,0.0033,0.0063,0.0033,1.0089,0.0225,0.0,0.0001,0.4991,0.0094,0.0001,0.0001,0.5037,0.0053
order_block,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",7682.0,344.0218,9.0,0.0,853.5667,38.1762,7681.6667,344.2562,0.5077,0.0146,16.0,0.0,8.2599,2.7309,8.4447,2.861,0.982,0.0324,17.7671,5.8245,18.104,5.8988,0.9813,0.0074,-0.0999,0.1724,0.4893,0.005,-0.1044,0.2365,0.4997,0.0042
order_block,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",9631.75,12.8938,9.0,0.0,1070.175,1.4268,9631.75,12.8938,0.4612,0.0184,4.0,8.0,93.8962,89.9472,91.408,87.6391,1.0212,0.0153,220.9997,210.4341,214.8613,206.6294,1.0315,0.0142,2.4843,2.6364,0.496,0.0062,1.8639,2.8266,0.4932,0.0103
psp_candle_divergence,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",1388.25,1122.6553,9.0,0.0,154.25,124.7486,1378.0,1117.8986,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
psp_candle_divergence,energy,4,"BZ.c.0,CL.c.0,HO.c.0,RB.c.0",4298.5,1476.4725,9.0,0.0,477.6,164.0331,4260.25,1468.147,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
psp_candle_divergence,fx,6,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6N.c.0,6S.c.0",3392.6667,1392.2907,9.0,0.0,376.95,154.6933,3361.0,1388.319,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
psp_candle_divergence,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",4430.0,1186.6777,9.0,0.0,492.2333,131.8626,4375.0,1179.0051,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
psp_candle_divergence,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",4221.25,1652.2983,9.0,0.0,469.025,183.5783,4187.0,1634.2478,0.0,0.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,
smt_htf_reference_divergence,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",501.75,396.2662,9.0,0.0,55.75,43.995,501.75,396.2662,0.494,0.0495,0.0,0.0,,,,,,,,,,,,,,,,,,,,
smt_htf_reference_divergence,energy,4,"BZ.c.0,CL.c.0,HO.c.0,RB.c.0",638.75,457.5831,9.0,0.0,70.975,50.8697,638.75,457.5831,0.4798,0.0288,0.0,0.0,,,,,,,,,,,,,,,,,,,,
smt_htf_reference_divergence,fx,6,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6N.c.0,6S.c.0",537.6667,142.6614,9.0,0.0,59.7333,15.8302,537.6667,142.6614,0.4917,0.028,0.0,0.0,,,,,,,,,,,,,,,,,,,,
smt_htf_reference_divergence,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",182.0,40.5093,9.0,0.0,20.2333,4.5004,182.0,40.5093,0.513,0.0552,0.0,0.0,,,,,,,,,,,,,,,,,,,,
smt_htf_reference_divergence,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",638.75,253.6301,9.0,0.0,70.95,28.2048,638.75,253.6301,0.4763,0.0534,0.0,0.0,,,,,,,,,,,,,,,,,,,,
swing_pivot,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",12568.25,1627.9765,9.0,0.0,1396.475,180.8991,12565.25,1631.8933,0.4873,0.0079,12.0,0.0,0.4271,0.3547,0.1173,0.0989,3.6772,0.13,0.783,0.6542,0.4737,0.3976,1.6585,0.0212,,,,,,,,
swing_pivot,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",18058.4,361.3057,9.0,0.0,2006.48,40.1396,18057.0,361.036,0.4992,0.0033,11.2,1.7889,0.6727,0.8147,0.1901,0.2322,3.6714,0.1423,1.2647,1.5281,0.7884,0.9536,1.6144,0.0262,,,,,,,,
swing_pivot,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",14018.1429,2678.8911,9.0,0.0,1557.5571,297.6578,14017.2857,2679.4135,0.4953,0.0057,10.2857,4.5356,0.0044,0.0024,0.001,0.0005,4.6853,0.9673,0.0078,0.0041,0.0043,0.0023,1.8091,0.1596,,,,,,,,
swing_pivot,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",10977.0,454.2995,9.0,0.0,1219.7,50.4777,10975.3333,452.7166,0.491,0.0046,12.0,0.0,13.0319,4.2055,3.0373,0.9694,4.294,0.1401,22.4357,6.8363,12.3538,3.7077,1.814,0.0157,,,,,,,,
swing_pivot,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",18519.75,390.8694,9.0,0.0,2057.75,43.4331,18519.75,390.8694,0.4968,0.0022,12.0,0.0,132.7267,126.7134,39.5707,37.7208,3.334,0.1011,252.3198,241.1477,157.9406,151.1677,1.5962,0.0208,,,,,,,,
time_profile,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",4575.0,75.2596,9.0,0.0,508.35,8.3445,4538.5,91.8459,0.4772,0.0155,22.0,0.0,,,,,,,,,,,,,,,,,,,,
time_profile,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",4632.6,0.8944,9.0,0.0,514.76,0.0894,4603.6,0.8944,0.5182,0.0172,22.0,0.0,,,,,,,,,,,,,,,,,,,,
time_profile,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",4623.8571,31.9553,9.0,0.0,513.7857,3.5555,4599.4286,37.6424,0.4817,0.0169,22.0,0.0,,,,,,,,,,,,,,,,,,,,
time_profile,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",4475.6667,64.2599,9.0,0.0,497.3,7.1631,4421.3333,90.0074,0.4867,0.0224,22.0,0.0,,,,,,,,,,,,,,,,,,,,
time_profile,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",4640.5,1.0,9.0,0.0,515.625,0.15,4623.0,2.0,0.5418,0.0168,22.0,0.0,,,,,,,,,,,,,,,,,,,,
volume_profile,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",7756.0,630.2354,9.0,0.0,861.775,70.0217,7345.0,601.4305,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
volume_profile,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",8621.2,34.8454,9.0,0.0,957.9,3.8865,8173.4,39.7026,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
volume_profile,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",7488.5714,1161.7274,9.0,0.0,832.0714,129.0872,7094.4286,1115.5387,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
volume_profile,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",7526.6667,331.8152,9.0,0.0,836.3,36.8711,7034.0,313.9618,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
volume_profile,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",8633.0,2.0,9.0,0.0,959.2,0.2,8197.0,4.8305,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,
